# TIME FLUX FLUX_ERR PHASE ECL_MASK
1.472907482620646533e+03 1.000642776489257812e+00 5.675945430994033813e-04 3.155317130637387280e-01 0.000000000000000000e+00
1.472928315991054433e+03 1.000786662101745605e+00 5.675973952747881413e-04 3.169578178865579687e-01 0.000000000000000000e+00
1.472949149361171067e+03 1.001368165016174316e+00 5.676749278791248798e-04 3.183839226894393803e-01 0.000000000000000000e+00
1.472969982730997572e+03 1.000963330268859863e+00 5.676887813024222851e-04 3.198100274724602343e-01 0.000000000000000000e+00
1.472990816100474149e+03 1.000740885734558105e+00 5.675556603819131851e-04 3.212361322315278045e-01 0.000000000000000000e+00
1.473011649469600570e+03 1.000419974327087402e+00 5.677327280864119530e-04 3.226622369666261037e-01 0.000000000000000000e+00
1.473032482838495071e+03 1.000223755836486816e+00 5.674464046023786068e-04 3.240883416858482136e-01 0.000000000000000000e+00
1.473053316206982117e+03 1.001106500625610352e+00 5.676488508470356464e-04 3.255144463771797447e-01 0.000000000000000000e+00
1.473074149575236106e+03 1.001285791397094727e+00 5.679143941961228848e-04 3.269405510525569269e-01 0.000000000000000000e+00
1.473094982943141758e+03 1.000971555709838867e+00 5.673457053489983082e-04 3.283666557040900713e-01 0.000000000000000000e+00
1.473115816310697483e+03 1.001331925392150879e+00 5.681673064827919006e-04 3.297927603316699319e-01 0.000000000000000000e+00
1.473136649677962168e+03 1.001239657402038574e+00 5.676947766914963722e-04 3.312188649393270623e-01 0.000000000000000000e+00
1.473157483044936271e+03 1.001153707504272461e+00 5.676973960362374783e-04 3.326449695270925488e-01 0.000000000000000000e+00
1.473178316411560672e+03 1.000413060188293457e+00 5.675069405697286129e-04 3.340710740909207388e-01 0.000000000000000000e+00
